metabolite_key	metabolite_name	direction	hedges_g	original_fdr	gene_symbol	uniprot_accession	relationship_type	role_in_written_reaction	mapping_tier	ec_number	reaction_summary_cn	compartment	source_url	human_protein_url	relation_id	scope_note	gene_expression_status	patient_correlation_status	functional_target_status
KEGG:C00134	putrescine	升高	1.08324154746233	2.00976264472831e-06	ODC1	P11926	酶	生成产物	A	4.1.1.17	鸟氨酸脱羧生成腐胺。	未逐基因核定	https://enzyme.expasy.org/EC/4.1.1.17	https://www.uniprot.org/uniprotkb/P11926/entry	R012	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00135	histidine	降低	-1.0444481863326	1.06128447466272e-05	HAL	P42357	酶	转化底物	A	4.3.1.3	组氨酸脱氨生成尿刊酸。	未逐基因核定	https://enzyme.expasy.org/EC/4.3.1.3	https://www.uniprot.org/uniprotkb/P42357/entry	R017	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00140	N-acetylglucosamine	升高	0.682520958599209	0.00127391072102789	NAGK	Q9UJ70	酶	转化底物	A	2.7.1.59	N-乙酰葡糖胺磷酸化生成N-乙酰葡糖胺6-磷酸。	未逐基因核定	https://enzyme.expasy.org/EC/2.7.1.59	https://www.uniprot.org/uniprotkb/Q9UJ70/entry	R036	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00148	proline	升高	1.41525118979714	5.95845595217253e-08	PEPD	P12955	酶	水解产物	A	3.4.13.9	Gly-Pro属于X-Pro二肽底物，水解得到甘氨酸和脯氨酸。	未逐基因核定	https://enzyme.expasy.org/EC/3.4.13.9	https://www.uniprot.org/uniprotkb/P12955/entry	R032	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00148	proline	升高	1.41525118979714	5.95845595217253e-08	PRODH	O43272	酶	转化底物	A	1.5.5.2	脯氨酸被氧化为吡咯啉-5-羧酸。	未逐基因核定	https://enzyme.expasy.org/EC/1.5.5.2	https://www.uniprot.org/uniprotkb/O43272/entry	R015	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00148	proline	升高	1.41525118979714	5.95845595217253e-08	PYCR1	P32322	酶	还原反应产物	A	1.5.1.2	吡咯啉-5-羧酸还原连接脯氨酸。	未逐基因核定	https://enzyme.expasy.org/EC/1.5.1.2	https://www.uniprot.org/uniprotkb/P32322/entry	R014	PYCR3别名PYCRL；数据库可逆反应不代表肿瘤净方向。	未分析	未分析	未评价
KEGG:C00148	proline	升高	1.41525118979714	5.95845595217253e-08	PYCR2	Q96C36	酶	还原反应产物	A	1.5.1.2	吡咯啉-5-羧酸还原连接脯氨酸。	未逐基因核定	https://enzyme.expasy.org/EC/1.5.1.2	https://www.uniprot.org/uniprotkb/Q96C36/entry	R014	PYCR3别名PYCRL；数据库可逆反应不代表肿瘤净方向。	未分析	未分析	未评价
KEGG:C00148	proline	升高	1.41525118979714	5.95845595217253e-08	PYCR3	Q53H96	酶	还原反应产物	A	1.5.1.2	吡咯啉-5-羧酸还原连接脯氨酸。	未逐基因核定	https://enzyme.expasy.org/EC/1.5.1.2	https://www.uniprot.org/uniprotkb/Q53H96/entry	R014	PYCR3别名PYCRL；数据库可逆反应不代表肿瘤净方向。	未分析	未分析	未评价
KEGG:C00149	malate	升高	1.18834928904435	8.42026335505837e-07	FH	P07954	酶	可逆反应参与物	A	4.2.1.2	苹果酸与延胡索酸的水合/脱水反应。	未逐基因核定	https://enzyme.expasy.org/EC/4.2.1.2	https://www.uniprot.org/uniprotkb/P07954/entry	R079	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00149	malate	升高	1.18834928904435	8.42026335505837e-07	MDH1	P40925	酶	可逆反应参与物	A	1.1.1.37	苹果酸与草酰乙酸的氧化还原反应。	未逐基因核定	https://enzyme.expasy.org/EC/1.1.1.37	https://www.uniprot.org/uniprotkb/P40925/entry	R078	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00149	malate	升高	1.18834928904435	8.42026335505837e-07	MDH2	P40926	酶	可逆反应参与物	A	1.1.1.37	苹果酸与草酰乙酸的氧化还原反应。	未逐基因核定	https://enzyme.expasy.org/EC/1.1.1.37	https://www.uniprot.org/uniprotkb/P40926/entry	R078	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00152	asparagine	降低	-0.488238055912632	0.0406511739333432	ASNS	P08243	酶	生成产物	A	6.3.5.4	天冬氨酸与谷氨酰胺在ATP参与下生成天冬酰胺和谷氨酸。	未逐基因核定	https://www.kegg.jp/entry/6.3.5.4	https://www.uniprot.org/uniprotkb/P08243/entry	R003	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00153	nicotinamide	升高	0.67848523520744	0.00179259850376154	NAMPT	P43490	酶	补救合成底物	A	2.4.2.12	烟酰胺与PRPP连接NMN补救合成。	未逐基因核定	https://enzyme.expasy.org/EC/2.4.2.12	https://www.uniprot.org/uniprotkb/P43490/entry	R073	NAMPT不直接生成1-MNA，本轮只连接显著的烟酰胺条目。	未分析	未分析	未评价
KEGG:C00153	nicotinamide	升高	0.67848523520744	0.00179259850376154	NNMT	P40261	酶	转化底物	A	2.1.1.1	烟酰胺接受SAM甲基，生成1-MNA与SAH。	未逐基因核定	https://enzyme.expasy.org/EC/2.1.1.1	https://www.uniprot.org/uniprotkb/P40261/entry	R072	SAH是广泛甲基转移产物；仅保留与本次已选NNMT反应的显式关系，不扩展所有甲基转移酶。	未分析	未分析	未评价
KEGG:C00158	citrate	升高	0.443677331713106	0.0446924537675019	ACLY	P53396	酶	可逆反应参与物	A	2.3.3.8	ATP参与的柠檬酸/乙酰CoA-草酰乙酸转换。	未逐基因核定	https://enzyme.expasy.org/EC/2.3.3.8	https://www.uniprot.org/uniprotkb/P53396/entry	R077	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00158	citrate	升高	0.443677331713106	0.0446924537675019	CS	O75390	酶	生成产物	A	2.3.3.1	草酰乙酸与乙酰CoA缩合生成柠檬酸。	未逐基因核定	https://enzyme.expasy.org/EC/2.3.3.1	https://www.uniprot.org/uniprotkb/O75390/entry	R076	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00186	lactate	升高	1.17154077197429	5.31188825864446e-07	LDHA	P00338	酶	可逆反应参与物	A	1.1.1.27	L-乳酸与丙酮酸的氧化还原反应。	未逐基因核定	https://enzyme.expasy.org/EC/1.1.1.27	https://www.uniprot.org/uniprotkb/P00338/entry	R046	按原C00186注释映射L-乳酸；不是4-HPL的自动映射依据。	未分析	未分析	未评价
KEGG:C00186	lactate	升高	1.17154077197429	5.31188825864446e-07	LDHB	P07195	酶	可逆反应参与物	A	1.1.1.27	L-乳酸与丙酮酸的氧化还原反应。	未逐基因核定	https://enzyme.expasy.org/EC/1.1.1.27	https://www.uniprot.org/uniprotkb/P07195/entry	R046	按原C00186注释映射L-乳酸；不是4-HPL的自动映射依据。	未分析	未分析	未评价
KEGG:C00187	cholesterol	降低	-0.483781760270127	0.00601977612589269	SOAT1	P35610	酶	转化底物	A	2.3.1.26	胆固醇酰化生成胆固醇酯。	未逐基因核定	https://enzyme.expasy.org/EC/2.3.1.26	https://www.uniprot.org/uniprotkb/P35610/entry	R058	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00187	cholesterol	降低	-0.483781760270127	0.00601977612589269	SOAT2	O75908	酶	转化底物	A	2.3.1.26	胆固醇酰化生成胆固醇酯。	未逐基因核定	https://enzyme.expasy.org/EC/2.3.1.26	https://www.uniprot.org/uniprotkb/O75908/entry	R058	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00189	ethanolamine	升高	0.993418253510911	3.53333008684011e-05	CHKA	P35790	酶	转化底物	A	2.7.1.82	乙醇胺磷酸化生成磷酸乙醇胺。	未逐基因核定	https://enzyme.expasy.org/EC/2.7.1.82	https://www.uniprot.org/uniprotkb/P35790/entry	R049	CHKA/CHKB也有该反应注释；酶名不代表单一底物专一性。	未分析	未分析	未评价
KEGG:C00189	ethanolamine	升高	0.993418253510911	3.53333008684011e-05	CHKB	Q9Y259	酶	转化底物	A	2.7.1.82	乙醇胺磷酸化生成磷酸乙醇胺。	未逐基因核定	https://enzyme.expasy.org/EC/2.7.1.82	https://www.uniprot.org/uniprotkb/Q9Y259/entry	R049	CHKA/CHKB也有该反应注释；酶名不代表单一底物专一性。	未分析	未分析	未评价
KEGG:C00189	ethanolamine	升高	0.993418253510911	3.53333008684011e-05	ETNK1	Q9HBU6	酶	转化底物	A	2.7.1.82	乙醇胺磷酸化生成磷酸乙醇胺。	未逐基因核定	https://enzyme.expasy.org/EC/2.7.1.82	https://www.uniprot.org/uniprotkb/Q9HBU6/entry	R049	CHKA/CHKB也有该反应注释；酶名不代表单一底物专一性。	未分析	未分析	未评价
KEGG:C00189	ethanolamine	升高	0.993418253510911	3.53333008684011e-05	ETNK2	Q9NVF9	酶	转化底物	A	2.7.1.82	乙醇胺磷酸化生成磷酸乙醇胺。	未逐基因核定	https://enzyme.expasy.org/EC/2.7.1.82	https://www.uniprot.org/uniprotkb/Q9NVF9/entry	R049	CHKA/CHKB也有该反应注释；酶名不代表单一底物专一性。	未分析	未分析	未评价
KEGG:C00208	maltose	升高	0.62259980224989	0.00353751019914742	MGAM	O43451	酶	水解底物	A	3.2.1.20	人MGAM可水解麦芽糖生成葡萄糖。	质膜外侧/细胞外	https://www.reactome.org/content/detail/R-HSA-189102	https://www.uniprot.org/uniprotkb/O43451/entry	R087	原注释主要为小肠消化背景；乳腺组织中的表达和底物来源未评价。	未分析	未分析	未评价
KEGG:C00212	adenosine	升高	0.785881582577226	0.00104679192743681	ADA	P00813	酶	转化底物	A	3.5.4.4	腺苷脱氨生成肌苷。	未逐基因核定	https://enzyme.expasy.org/EC/3.5.4.4	https://www.uniprot.org/uniprotkb/P00813/entry	R065	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00212	adenosine	升高	0.785881582577226	0.00104679192743681	ADA2	Q9NZK5	酶	转化底物	A	3.5.4.4	腺苷脱氨生成肌苷。	未逐基因核定	https://enzyme.expasy.org/EC/3.5.4.4	https://www.uniprot.org/uniprotkb/Q9NZK5/entry	R065	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00212	adenosine	升高	0.785881582577226	0.00104679192743681	AHCY	P23526	酶	可逆反应参与物	A	3.13.2.1	SAH水解反应连接同型半胱氨酸与腺苷。	未逐基因核定	https://enzyme.expasy.org/EC/3.13.2.1	https://www.uniprot.org/uniprotkb/P23526/entry	R029	现行EC 3.13.2.1；旧EC 3.3.1.1已转移。	未分析	未分析	未评价
KEGG:C00242	guanine	升高	1.33232734180974	1.67017337215638e-08	GDA	Q9Y2T3	酶	转化底物	A	3.5.4.3	鸟嘌呤脱氨生成黄嘌呤。	未逐基因核定	https://enzyme.expasy.org/EC/3.5.4.3	https://www.uniprot.org/uniprotkb/Q9Y2T3/entry	R067	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00242	guanine	升高	1.33232734180974	1.67017337215638e-08	HPRT1	P00492	酶	补救合成底物	A	2.4.2.8	次黄嘌呤/鸟嘌呤与PRPP连接IMP/GMP补救合成。	未逐基因核定	https://enzyme.expasy.org/EC/2.4.2.8	https://www.uniprot.org/uniprotkb/P00492/entry	R066	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00242	guanine	升高	1.33232734180974	1.67017337215638e-08	PNP	P00491	酶	可逆磷酸解参与物	A	2.4.2.1	肌苷磷酸解连接次黄嘌呤；鸟苷磷酸解连接鸟嘌呤。	未逐基因核定	https://enzyme.expasy.org/EC/2.4.2.1	https://www.uniprot.org/uniprotkb/P00491/entry	R064	本轮仅收录人PNP明确经典底物；不把黄苷或所有修饰核苷自动纳入。	未分析	未分析	未评价
KEGG:C00245	taurine	升高	0.942148247544239	2.82983594099945e-05	SLC6A6	P31641	转运体	直接运输底物	A		人钠/氯依赖牛磺酸转运体。	细胞膜	https://www.kegg.jp/entry/hsa:6533	https://www.uniprot.org/uniprotkb/P31641/entry	R082	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00255	riboflavin (Vitamin B2)	升高	0.562631990859054	0.00459702633256472	RFK	Q969G6	酶	转化底物	A	2.7.1.26	核黄素磷酸化生成FMN。	未逐基因核定	https://enzyme.expasy.org/EC/2.7.1.26	https://www.uniprot.org/uniprotkb/Q969G6/entry	R075	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00257	gluconate	升高	0.606267324486518	0.0224299489063582	IDNK	Q5T6J7	酶	转化底物	A	2.7.1.12	D-葡糖酸在ATP参与下磷酸化为6-磷酸葡糖酸。	未逐基因核定	https://enzyme.expasy.org/EC/2.7.1.12	https://www.uniprot.org/uniprotkb/Q5T6J7/entry	R085	人GNTK/IDNK对应Q5T6J7；仅为直接反应关系，不代表其在乳腺组织中表达或有通量。	未分析	未分析	未评价
KEGG:C00262	hypoxanthine	升高	0.74524822904351	9.36398336908454e-05	HPRT1	P00492	酶	补救合成底物	A	2.4.2.8	次黄嘌呤/鸟嘌呤与PRPP连接IMP/GMP补救合成。	未逐基因核定	https://enzyme.expasy.org/EC/2.4.2.8	https://www.uniprot.org/uniprotkb/P00492/entry	R066	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00262	hypoxanthine	升高	0.74524822904351	9.36398336908454e-05	PNP	P00491	酶	可逆磷酸解参与物	A	2.4.2.1	肌苷磷酸解连接次黄嘌呤；鸟苷磷酸解连接鸟嘌呤。	未逐基因核定	https://enzyme.expasy.org/EC/2.4.2.1	https://www.uniprot.org/uniprotkb/P00491/entry	R064	本轮仅收录人PNP明确经典底物；不把黄苷或所有修饰核苷自动纳入。	未分析	未分析	未评价
KEGG:C00270	N-acetylneuraminate	升高	0.646309349215585	0.00109161443657712	CMAS	Q8NFW8	酶	转化底物	A	2.7.7.43	N-乙酰神经氨酸与CTP生成CMP活化的唾液酸。	未逐基因核定	https://enzyme.expasy.org/EC/2.7.7.43	https://www.uniprot.org/uniprotkb/Q8NFW8/entry	R041	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00270	N-acetylneuraminate	升高	0.646309349215585	0.00109161443657712	NPL	Q9BXD5	酶	转化底物	A	4.1.3.3	N-乙酰神经氨酸裂解为N-乙酰甘露糖胺与丙酮酸。	未逐基因核定	https://enzyme.expasy.org/EC/4.1.3.3	https://www.uniprot.org/uniprotkb/Q9BXD5/entry	R040	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00275	mannose 6-phosphate	升高	1.09395738047572	6.45425241034453e-06	MPI	P34949	酶	可逆反应参与物	A	5.3.1.8	甘露糖6-磷酸与果糖6-磷酸异构。	未逐基因核定	https://enzyme.expasy.org/EC/5.3.1.8	https://www.uniprot.org/uniprotkb/P34949/entry	R034	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00275	mannose 6-phosphate	升高	1.09395738047572	6.45425241034453e-06	PMM1	Q92871	酶	可逆反应参与物	A	5.4.2.8	甘露糖1-磷酸与甘露糖6-磷酸互变。	未逐基因核定	https://enzyme.expasy.org/EC/5.4.2.8	https://www.uniprot.org/uniprotkb/Q92871/entry	R035	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00275	mannose 6-phosphate	升高	1.09395738047572	6.45425241034453e-06	PMM2	O15305	酶	可逆反应参与物	A	5.4.2.8	甘露糖1-磷酸与甘露糖6-磷酸互变。	未逐基因核定	https://enzyme.expasy.org/EC/5.4.2.8	https://www.uniprot.org/uniprotkb/O15305/entry	R035	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00294	inosine	降低	-0.420184128839344	0.0224299489063582	ADA	P00813	酶	生成产物	A	3.5.4.4	腺苷脱氨生成肌苷。	未逐基因核定	https://enzyme.expasy.org/EC/3.5.4.4	https://www.uniprot.org/uniprotkb/P00813/entry	R065	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00294	inosine	降低	-0.420184128839344	0.0224299489063582	ADA2	Q9NZK5	酶	生成产物	A	3.5.4.4	腺苷脱氨生成肌苷。	未逐基因核定	https://enzyme.expasy.org/EC/3.5.4.4	https://www.uniprot.org/uniprotkb/Q9NZK5/entry	R065	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00294	inosine	降低	-0.420184128839344	0.0224299489063582	PNP	P00491	酶	可逆磷酸解参与物	A	2.4.2.1	肌苷磷酸解连接次黄嘌呤；鸟苷磷酸解连接鸟嘌呤。	未逐基因核定	https://enzyme.expasy.org/EC/2.4.2.1	https://www.uniprot.org/uniprotkb/P00491/entry	R064	本轮仅收录人PNP明确经典底物；不把黄苷或所有修饰核苷自动纳入。	未分析	未分析	未评价
KEGG:C00300	creatine	降低	-1.29504988511855	5.83352447059991e-08	CKB	P12277	酶	可逆反应参与物	A	2.7.3.2	肌酸与磷酸肌酸之间的磷酸基转移。	未逐基因核定	https://enzyme.expasy.org/EC/2.7.3.2	https://www.uniprot.org/uniprotkb/P12277/entry	R020	本轮列入胞质两种肌酸激酶；不是全部肌酸相关基因的穷尽目录。	未分析	未分析	未评价
KEGG:C00300	creatine	降低	-1.29504988511855	5.83352447059991e-08	CKM	P06732	酶	可逆反应参与物	A	2.7.3.2	肌酸与磷酸肌酸之间的磷酸基转移。	未逐基因核定	https://enzyme.expasy.org/EC/2.7.3.2	https://www.uniprot.org/uniprotkb/P06732/entry	R020	本轮列入胞质两种肌酸激酶；不是全部肌酸相关基因的穷尽目录。	未分析	未分析	未评价
KEGG:C00300	creatine	降低	-1.29504988511855	5.83352447059991e-08	GAMT	Q14353	酶	生成产物	A	2.1.1.2	胍基乙酸接受SAM的甲基生成肌酸。	未逐基因核定	https://enzyme.expasy.org/EC/2.1.1.2	https://www.uniprot.org/uniprotkb/Q14353/entry	R019	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00300	creatine	降低	-1.29504988511855	5.83352447059991e-08	SLC6A8	P48029	转运体	直接运输底物	A		人肌酸转运体。	细胞膜	https://rest.uniprot.org/uniprotkb/P48029.txt	https://www.uniprot.org/uniprotkb/P48029/entry	R083	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00307	cytidine 5'-diphosphocholine	升高	1.40345853957875	4.92640057920067e-08	CEPT1	Q9Y6K0	酶	转化底物	A	2.7.8.2	CDP-胆碱与二酰甘油生成磷脂酰胆碱并释放CMP。	未逐基因核定	https://enzyme.expasy.org/EC/2.7.8.2	https://www.uniprot.org/uniprotkb/Q9Y6K0/entry	R053	CMP为该反应离去产物，不代表该酶是CMP代谢的专属调控点。	未分析	未分析	未评价
KEGG:C00307	cytidine 5'-diphosphocholine	升高	1.40345853957875	4.92640057920067e-08	CHPT1	Q8WUD6	酶	转化底物	A	2.7.8.2	CDP-胆碱与二酰甘油生成磷脂酰胆碱并释放CMP。	未逐基因核定	https://enzyme.expasy.org/EC/2.7.8.2	https://www.uniprot.org/uniprotkb/Q8WUD6/entry	R053	CMP为该反应离去产物，不代表该酶是CMP代谢的专属调控点。	未分析	未分析	未评价
KEGG:C00307	cytidine 5'-diphosphocholine	升高	1.40345853957875	4.92640057920067e-08	PCYT1A	P49585	酶	生成产物	A	2.7.7.15	磷酸胆碱与CTP生成CDP-胆碱。	未逐基因核定	https://enzyme.expasy.org/EC/2.7.7.15	https://www.uniprot.org/uniprotkb/P49585/entry	R052	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00307	cytidine 5'-diphosphocholine	升高	1.40345853957875	4.92640057920067e-08	PCYT1B	Q9Y5K3	酶	生成产物	A	2.7.7.15	磷酸胆碱与CTP生成CDP-胆碱。	未逐基因核定	https://enzyme.expasy.org/EC/2.7.7.15	https://www.uniprot.org/uniprotkb/Q9Y5K3/entry	R052	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00319	sphingosine	升高	1.21559154483355	2.16502244587702e-07	SPHK1	Q9NYA1	酶	转化底物	A	2.7.1.91	鞘氨醇磷酸化生成鞘氨醇1-磷酸。	未逐基因核定	https://enzyme.expasy.org/EC/2.7.1.91	https://www.uniprot.org/uniprotkb/Q9NYA1/entry	R059	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00319	sphingosine	升高	1.21559154483355	2.16502244587702e-07	SPHK2	Q9NRA0	酶	转化底物	A	2.7.1.91	鞘氨醇磷酸化生成鞘氨醇1-磷酸。	未逐基因核定	https://enzyme.expasy.org/EC/2.7.1.91	https://www.uniprot.org/uniprotkb/Q9NRA0/entry	R059	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00327	citrulline	降低	-0.902649010014025	6.35760872688901e-05	ASS1	P00966	酶	转化底物	A	6.3.4.5	瓜氨酸、天冬氨酸和ATP参与精氨琥珀酸合成。	未逐基因核定	https://enzyme.expasy.org/EC/6.3.4.5	https://www.uniprot.org/uniprotkb/P00966/entry	R011	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00327	citrulline	降低	-0.902649010014025	6.35760872688901e-05	OTC	P00480	酶	生成产物	A	2.1.3.3	鸟氨酸与氨甲酰磷酸生成瓜氨酸。	未逐基因核定	https://enzyme.expasy.org/EC/2.1.3.3	https://www.uniprot.org/uniprotkb/P00480/entry	R010	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00328	kynurenine	升高	0.813846961211355	0.000616777108247461	AFMID	Q63HM1	酶	生成产物	A	3.5.1.9	N-甲酰犬尿氨酸水解生成犬尿氨酸。	未逐基因核定	https://enzyme.expasy.org/EC/3.5.1.9	https://www.uniprot.org/uniprotkb/Q63HM1/entry	R025	IDO1/TDO2作用于上游色氨酸，不能在一步直接关系表中替代AFMID。	未分析	未分析	未评价
KEGG:C00328	kynurenine	升高	0.813846961211355	0.000616777108247461	KMO	O15229	酶	转化底物	A	1.14.13.9	犬尿氨酸羟化生成3-羟基犬尿氨酸。	未逐基因核定	https://enzyme.expasy.org/EC/1.14.13.9	https://www.uniprot.org/uniprotkb/O15229/entry	R027	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00328	kynurenine	升高	0.813846961211355	0.000616777108247461	KYNU	Q16719	酶	转化底物	A	3.7.1.3	犬尿氨酸水解生成邻氨基苯甲酸和丙氨酸。	未逐基因核定	https://enzyme.expasy.org/EC/3.7.1.3	https://www.uniprot.org/uniprotkb/Q16719/entry	R026	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00345	6-phosphogluconate	升高	0.775920683413082	4.09896973156086e-05	IDNK	Q5T6J7	酶	生成产物	A	2.7.1.12	D-葡糖酸在ATP参与下磷酸化为6-磷酸葡糖酸。	未逐基因核定	https://enzyme.expasy.org/EC/2.7.1.12	https://www.uniprot.org/uniprotkb/Q5T6J7/entry	R085	人GNTK/IDNK对应Q5T6J7；仅为直接反应关系，不代表其在乳腺组织中表达或有通量。	未分析	未分析	未评价
KEGG:C00345	6-phosphogluconate	升高	0.775920683413082	4.09896973156086e-05	PGD	P52209	酶	转化底物	A	1.1.1.44	6-磷酸葡糖酸氧化脱羧连接核酮糖5-磷酸。	未逐基因核定	https://enzyme.expasy.org/EC/1.1.1.44	https://www.uniprot.org/uniprotkb/P52209/entry	R047	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00346	phosphoethanolamine	升高	1.71789869941203	2.72915698370918e-10	CHKA	P35790	酶	生成产物	A	2.7.1.82	乙醇胺磷酸化生成磷酸乙醇胺。	未逐基因核定	https://enzyme.expasy.org/EC/2.7.1.82	https://www.uniprot.org/uniprotkb/P35790/entry	R049	CHKA/CHKB也有该反应注释；酶名不代表单一底物专一性。	未分析	未分析	未评价
KEGG:C00346	phosphoethanolamine	升高	1.71789869941203	2.72915698370918e-10	CHKB	Q9Y259	酶	生成产物	A	2.7.1.82	乙醇胺磷酸化生成磷酸乙醇胺。	未逐基因核定	https://enzyme.expasy.org/EC/2.7.1.82	https://www.uniprot.org/uniprotkb/Q9Y259/entry	R049	CHKA/CHKB也有该反应注释；酶名不代表单一底物专一性。	未分析	未分析	未评价
KEGG:C00346	phosphoethanolamine	升高	1.71789869941203	2.72915698370918e-10	ETNK1	Q9HBU6	酶	生成产物	A	2.7.1.82	乙醇胺磷酸化生成磷酸乙醇胺。	未逐基因核定	https://enzyme.expasy.org/EC/2.7.1.82	https://www.uniprot.org/uniprotkb/Q9HBU6/entry	R049	CHKA/CHKB也有该反应注释；酶名不代表单一底物专一性。	未分析	未分析	未评价
KEGG:C00346	phosphoethanolamine	升高	1.71789869941203	2.72915698370918e-10	ETNK2	Q9NVF9	酶	生成产物	A	2.7.1.82	乙醇胺磷酸化生成磷酸乙醇胺。	未逐基因核定	https://enzyme.expasy.org/EC/2.7.1.82	https://www.uniprot.org/uniprotkb/Q9NVF9/entry	R049	CHKA/CHKB也有该反应注释；酶名不代表单一底物专一性。	未分析	未分析	未评价
KEGG:C00346	phosphoethanolamine	升高	1.71789869941203	2.72915698370918e-10	PCYT2	Q99447	酶	转化底物	A	2.7.7.14	磷酸乙醇胺与CTP生成CDP-乙醇胺。	未逐基因核定	https://enzyme.expasy.org/EC/2.7.7.14	https://www.uniprot.org/uniprotkb/Q99447/entry	R050	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00357	N-acetylglucosamine 6-phosphate	升高	0.852280434188841	0.000192386110803322	AMDHD2	Q9Y303	酶	转化底物	A	3.5.1.25	N-乙酰葡糖胺6-磷酸脱乙酰生成葡糖胺6-磷酸。	未逐基因核定	https://enzyme.expasy.org/EC/3.5.1.25	https://www.uniprot.org/uniprotkb/Q9Y303/entry	R038	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
