gene	stable_gene_id	RNA_n	RNA_n_reference	RNA_effect	RNA_ci_lower	RNA_ci_upper	RNA_p_value	RNA_q_value	RNA_status	RNA_reason	RNA_age_sex_n	RNA_age_sex_n_reference	RNA_age_sex_effect	RNA_age_sex_ci_lower	RNA_age_sex_ci_upper	RNA_age_sex_p_value	RNA_age_sex_q_value	RNA_age_sex_status	RNA_age_sex_reason	relation_ids	n_relations	n_nominal_patient_relations	RNA_background	functional_evidence	external_metabolite_validation	data_limitations	current_pool	next_action	SC_primary_status	SC_primary_reason	SC_primary_top_celltype	SC_primary_runner_celltype	SC_primary_top_gap	SC_primary_bootstrap_top_frequency	SC_primary_bootstrap_valid	SC_primary_rank_tie	SC_recurrent_status	SC_recurrent_reason	SC_recurrent_top_celltype	SC_recurrent_runner_celltype	SC_recurrent_top_gap	SC_recurrent_bootstrap_top_frequency	SC_recurrent_bootstrap_valid	SC_recurrent_rank_tie	SC_dataset	SC_independent_replication	SC_scope
ACO2	hsa:50	74.0	6.0	-1.1095436842668691	-1.2976568603919143	-0.921430508141824	5.6306420549657947e-08	7.115084051274958e-07	DONE	NA	74.0	6.0	-1.108645346815129	-1.2939230303985625	-0.9233676632316954	4.546406125049576e-19	7.899380642273633e-18	DONE	NA	GBM_FEATURE:3373c499464b3190|hsa:50	1	0	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Astrocyte	Neuron	0.131659187944724	1.0	1000	False	DONE	expression_source_only;not_function	Astrocyte	Neuron	0.137175182020679	1.0	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
ANKH	hsa:56172	74.0	6.0	-1.0642345398030817	-1.3016969666084168	-0.8267721129977466	3.423603727178788e-06	2.8033383819114225e-05	DONE	NA	74.0	6.0	-1.0905527346565642	-1.3812238837578226	-0.7998815855553059	1.1189882235484435e-10	7.069971048783346e-10	DONE	NA	GBM_FEATURE:3373c499464b3190|hsa:56172	1	0	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Oligodendrocyte	Myeloid	0.1151795724325859	0.989	1000	False	DONE	expression_source_only;not_function	Myeloid	Oligodendrocyte	0.0765218577240894	0.909	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
CS	hsa:1431	74.0	6.0	-0.4761963076767026	-0.7709027399830161	-0.1814898753703892	0.0072026583834663	0.0156432736765909	DONE	NA	74.0	6.0	-0.4669016080086371	-0.7146126302409922	-0.219190585776282	0.0003384685186703	0.000797408882969	DONE	NA	GBM_FEATURE:3373c499464b3190|hsa:1431	1	0	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Neoplastic	Myeloid	0.0162708046746451	0.89	1000	False	DONE	expression_source_only;not_function	Neoplastic	Myeloid	0.0161074835428839	0.883	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
RIMKLB	hsa:57494	74.0	6.0	0.1155210562513289	-0.3043181815408464	0.5353602940435043	0.5229680497804514	0.5723823536967145	DONE	NA	74.0	6.0	0.1522075948148047	-0.2175780408434652	0.5219932304730748	0.4148977043726328	0.4650869428048061	DONE	NA	GBM_FEATURE:3373c499464b3190|hsa:57494	1	0	NOT_SUPPORTED_THIS_TEST	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Vascular	Neoplastic	0.0989953915550029	0.965	1000	False	DONE	expression_source_only;not_function	Vascular	Neoplastic	0.0489693076003946	0.765	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
SFXN5	hsa:94097	74.0	6.0	-0.3905161341014249	-0.8142610039218006	0.0332287357189506	0.0652696947623329	0.1030964496814122	DONE	NA	74.0	6.0	-0.3902695016161459	-0.7904138153363427	0.0098748121040507	0.0557786031056125	0.0862774776290575	DONE	NA	GBM_FEATURE:3373c499464b3190|hsa:94097	1	0	NOT_SUPPORTED_THIS_TEST	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Astrocyte	Neoplastic	0.5927849875975879	1.0	1000	False	DONE	expression_source_only;not_function	Astrocyte	Neoplastic	0.6794536757934839	1.0	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
SLC13A2	hsa:9058	74.0	6.0	-0.0091533598169317	-0.018072892616486	-0.0002338270173773	0.0460504487300887	0.0753060279233215	DONE	NA	74.0	6.0	-0.009249025288136	-0.0168697858105823	-0.0016282647656896	0.0180371678841106	0.0317362827328022	DONE	NA	GBM_FEATURE:3373c499464b3190|hsa:9058	1	0	NOMINAL_EXPLORATORY	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	1000	False	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
SLC13A5	hsa:284111	74.0	6.0	-0.9683877203880072	-1.366824338728509	-0.5699511020475054	0.0011663564423291	0.00377031501125	DONE	NA	74.0	6.0	-0.9645084704541238	-1.3236683119140955	-0.6053486289941519	9.026623842307874e-07	3.217181318155884e-06	DONE	NA	GBM_FEATURE:3373c499464b3190|hsa:284111	1	0	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Astrocyte	OPC	0.0591994697173021	1.0	1000	False	DONE	expression_source_only;not_function	Astrocyte	OPC	0.0329066951114488	0.985	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
SLC25A1	hsa:6576	74.0	6.0	0.7629194369668157	0.5242291616357315	1.0016097122979	5.13075947412936e-05	0.0002971564862099	DONE	NA	74.0	6.0	0.7528613633374286	0.4900719944335224	1.0156507322413348	2.114927697755163e-07	8.165970832999102e-07	DONE	NA	GBM_FEATURE:3373c499464b3190|hsa:6576	1	0	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Oligodendrocyte	Neoplastic	0.0094576168195819	0.822	1000	False	DONE	expression_source_only;not_function	OPC	Neoplastic	0.0077043316288144	0.732	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
SLC25A14	hsa:9016	74.0	6.0	-0.5523363095359759	-1.0438195839556417	-0.0608530351163103	0.0340618152521494	0.0591162348587952	DONE	NA	74.0	6.0	-0.5370882132272617	-0.9442136495438024	-0.1299627769107209	0.0104018596557848	0.0192781132287212	DONE	NA	GBM_FEATURE:3373c499464b3190|hsa:9016	1	1	NOMINAL_EXPLORATORY	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Neuron	Neoplastic	0.0093728484377764	0.903	1000	False	DONE	expression_source_only;not_function	Neoplastic	Neuron	0.0010148415984492	0.576	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
SLC25A21	hsa:89874	74.0	6.0	-0.003122462668475	-0.0067855955493063	0.0005406702123562	0.0891320832063471	0.1304143112177078	DONE	NA	74.0	6.0	-0.003232886041453	-0.0072240704917567	0.0007582984088506	0.1108311861387925	0.1638886688648103	DONE	NA	GBM_FEATURE:3373c499464b3190|hsa:89874	1	0	NOT_SUPPORTED_THIS_TEST	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Neuron	OPC	0.0681951673090036	0.995	1000	False	DONE	expression_source_only;not_function	Neuron	Astrocyte	0.0712569954772941	0.998	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
CYP27A1	HGNC:2605	74.0	6.0	0.4421066317618853	0.0152544253990808	0.8689588381246899	0.0442206230055437	0.0733366827426846	DONE	NA	74.0	6.0	0.4198233695099145	0.016882403973067	0.8227643350467619	0.0413597914461831	0.0676354236590524	DONE	NA	GBM_FEATURE:366993077ce453b4|HGNC:2605	1	0	NOMINAL_EXPLORATORY	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Oligodendrocyte	Astrocyte	0.316233674803708	1.0	1000	False	DONE	expression_source_only;not_function	Oligodendrocyte	Astrocyte	0.3353358382745911	1.0	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
SOAT1	UniProt:P35610	74.0	6.0	0.7874148848067337	0.561633945244892	1.0131958243685757	4.66613139741901e-05	0.0002819966366266	DONE	NA	74.0	6.0	0.7734408553888268	0.5685124186030389	0.9783692921746148	9.206390317197067e-11	6.09375359090663e-10	DONE	NA	GBM_FEATURE:366993077ce453b4|UniProt:P35610	1	0	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Myeloid	Lymphoid	0.527647614579789	1.0	1000	False	DONE	expression_source_only;not_function	Myeloid	Lymphoid	0.5787100707438697	1.0	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
SOAT2	UniProt:O75908	74.0	6.0	0.0094992094049039	0.0002917020691154	0.0187067167406924	0.0443185708660828	0.0733366827426846	DONE	NA	74.0	6.0	0.0090823217121148	0.0002799398110109	0.0178847036132187	0.043314294638409	0.0698684028440781	DONE	NA	GBM_FEATURE:366993077ce453b4|UniProt:O75908	1	0	NOMINAL_EXPLORATORY	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Lymphoid	Neuron	0.0013669554922788	0.579	1000	False	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
AOC1	hsa:26	74.0	6.0	0.1432415984262439	0.112815947942452	0.1736672489100358	2.5969243590253812e-14	7.21944971809056e-13	DONE	NA	74.0	6.0	0.1485472375290619	0.1139256457641568	0.1831688292939671	9.91883726823669e-13	1.0605526002191538e-11	DONE	NA	GBM_FEATURE:368c03edafa119f4|hsa:26	1	0	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Neoplastic	Myeloid	0.0190993072701566	1.0	1000	False	DONE	expression_source_only;not_function	Neoplastic	Neuron	0.0032129443575762	0.699	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
ATP13A3	UniProt:Q9H7F0	74.0	6.0	0.5345974592827112	0.2920200545049483	0.7771748640604741	0.0004524277378482	0.0016996609611054	DONE	NA	74.0	6.0	0.4987034678794106	0.1573565032671707	0.8400504324916507	0.0047414517520544	0.0094151684790796	DONE	NA	GBM_FEATURE:368c03edafa119f4|UniProt:Q9H7F0	1	0	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Myeloid	Neoplastic	0.1182568394804326	0.997	1000	False	DONE	expression_source_only;not_function	Myeloid	Astrocyte	0.1036575888625175	0.914	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
HDAC10	UniProt:Q969S8	74.0	6.0	-0.2597633510038908	-0.95275186134853	0.4332251593407483	0.3844835171432819	0.4344976331944405	DONE	NA	74.0	6.0	-0.2698810924872261	-0.8789044161057445	0.3391422311312922	0.3802437174934198	0.444150224635171	DONE	NA	GBM_FEATURE:368c03edafa119f4|UniProt:Q969S8	1	0	NOT_SUPPORTED_THIS_TEST	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Lymphoid	Astrocyte	0.0088435767236125	0.809	1000	False	DONE	expression_source_only;not_function	Vascular	Lymphoid	0.0146602818735738	0.865	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
ODC1	UniProt:P11926	74.0	6.0	1.354472551000745	1.0180207999873314	1.6909243020141584	1.7127275740407613e-05	0.0001190345663958	DONE	NA	74.0	6.0	1.3843876112090876	1.0496814031838158	1.7190938192343594	3.857002698272699e-12	3.829452678999323e-11	DONE	NA	GBM_FEATURE:368c03edafa119f4|UniProt:P11926	1	0	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Neoplastic	OPC	0.0496703410551446	0.999	1000	False	DONE	expression_source_only;not_function	Neoplastic	OPC	0.0326239579426273	0.968	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
PAOX	hsa:196743	74.0	6.0	-0.3276305518459181	-0.7040124997808925	0.0487513960890561	0.076770107625039	0.1159896191291351	DONE	NA	74.0	6.0	-0.3255156785442995	-0.6593856425007393	0.0083542854121402	0.05586311501162	0.0862774776290575	DONE	NA	GBM_FEATURE:368c03edafa119f4|hsa:196743	1	0	NOT_SUPPORTED_THIS_TEST	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Myeloid	Oligodendrocyte	0.0025772397878198	0.673	1000	False	DONE	expression_source_only;not_function	Oligodendrocyte	Myeloid	8.173820000625942e-05	0.506	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
SLC22A1	hsa:6580	74.0	6.0	0.0113004073063838	-0.0824622990753525	0.1050631136881203	0.784721952263815	0.8263359951868962	DONE	NA	74.0	6.0	0.0148155776920481	-0.0728801351094272	0.1025112904935234	0.7374368755242808	0.7765433764990534	DONE	NA	GBM_FEATURE:368c03edafa119f4|hsa:6580	1	0	NOT_SUPPORTED_THIS_TEST	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Neuron	Astrocyte	0.0018430669739289	0.424	1000	False	DONE	expression_source_only;not_function	Myeloid	Astrocyte	0.0027074879159479	0.635	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
SLC22A2	hsa:6582	74.0	6.0	0.0023532633981577	-0.0072143847943066	0.0119209115906221	0.5925499337372526	0.6434721936677977	DONE	NA	74.0	6.0	0.0031524866473945	-0.0057895788216792	0.0120945521164683	0.4847270658825056	0.530528048485577	DONE	NA	GBM_FEATURE:368c03edafa119f4|hsa:6582;GBM_FEATURE:d11a2e5ffb2b2041|hsa:6582	2	0	NOT_SUPPORTED_THIS_TEST	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Neuron	Neoplastic	0.018401345071137	0.881	1000	False	DONE	expression_source_only;not_function	Neuron	Neoplastic	0.0090445913385791	0.874	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
SLC45A4	hsa:57210	74.0	6.0	-1.7681212984142172	-2.073685220721754	-1.4625573761066804	1.492635086654884e-05	0.00010919804055	DONE	NA	74.0	6.0	-1.770592882005294	-2.04687594342748	-1.4943098205831085	1.3748469454568727e-20	2.9319196305045413e-19	DONE	NA	GBM_FEATURE:368c03edafa119f4|hsa:57210	1	0	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Vascular	Neuron	0.0227402716461691	0.67	1000	False	DONE	expression_source_only;not_function	Myeloid	Neuron	0.0021588785147986	0.447	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
SRM	hsa:6723	74.0	6.0	0.2476533551956539	0.0748464340001997	0.420460276391108	0.0081305115618769	0.0171233501075894	DONE	NA	74.0	6.0	0.2594763828978723	0.0803682664544561	0.4385844993412884	0.0050855547159784	0.009956226838324	DONE	NA	GBM_FEATURE:368c03edafa119f4|hsa:6723	1	0	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Neoplastic	Vascular	0.0160068888893478	0.908	1000	False	DONE	expression_source_only;not_function	Neoplastic	Vascular	0.0317798892435025	0.997	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
SHMT1	hsa:6470	74.0	6.0	0.5021373555604518	0.1984153211127572	0.8058593900081463	0.0061091729541843	0.0139209023054365	DONE	NA	74.0	6.0	0.5000511880610747	0.2225848246999123	0.7775175514222372	0.0005846190305933	0.0013543674208746	DONE	NA	GBM_FEATURE:3d25af3508933dfb|hsa:6470;GBM_FEATURE:c9720c72406a9789|hsa:6470	2	1	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Myeloid	Oligodendrocyte	0.1017695906220784	1.0	1000	False	DONE	expression_source_only;not_function	Myeloid	Oligodendrocyte	0.0613483814200318	0.997	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
SHMT2	UniProt:P34897	74.0	6.0	1.7676709210615726	1.495561240230359	2.039780601892786	3.290853041363313e-09	4.574285727495006e-08	DONE	NA	74.0	6.0	1.755685558858955	1.4813533305515616	2.0300177871663485	1.4765062887432942e-20	2.9319196305045413e-19	DONE	NA	GBM_FEATURE:3d25af3508933dfb|UniProt:P34897;GBM_FEATURE:c9720c72406a9789|UniProt:P34897	2	0	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Neoplastic	Vascular	0.0200345998517312	0.984	1000	False	DONE	expression_source_only;not_function	Neoplastic	Lymphoid	0.0120554298072521	0.909	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
MGAM	hsa:8972	74.0	6.0	0.1574663929405327	0.0334736452465473	0.281459140634518	0.0187482644051365	0.0361945660043608	DONE	NA	74.0	6.0	0.1494776005561344	0.0292311748513015	0.2697240262609673	0.0155178721050618	0.0276536438795332	DONE	NA	GBM_FEATURE:6fe63a2a8258d9f8|hsa:8972;GBM_FEATURE:88a2f109b13da155|hsa:8972	2	0	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Myeloid	Astrocyte	0.4211488815562704	1.0	1000	False	DONE	expression_source_only;not_function	Myeloid	Neoplastic	0.3565037768082224	1.0	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
ADPGK	hsa:83440	74.0	6.0	0.8207535314666905	0.5771195436548832	1.064387519278498	5.710383331267906e-05	0.0003052858780947	DONE	NA	74.0	6.0	0.803286085999559	0.5440661389481045	1.0625060330510134	3.040667508527767e-08	1.408842612284532e-07	DONE	NA	GBM_FEATURE:88a2f109b13da155|hsa:83440	1	0	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Myeloid	Lymphoid	0.3741681931820485	1.0	1000	False	DONE	expression_source_only;not_function	Myeloid	Lymphoid	0.370141357459238	1.0	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
B4GALT1	hsa:2683	74.0	6.0	0.7833651761144524	0.6130982298419488	0.953632122386956	3.045630220691947e-11	6.047751438231152e-10	DONE	NA	74.0	6.0	0.7559556745702152	0.5674207027605296	0.9444906463799008	1.1716164201801512e-11	9.579687200296527e-11	DONE	NA	GBM_FEATURE:88a2f109b13da155|hsa:2683	1	0	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Myeloid	Lymphoid	0.3224927744833032	1.0	1000	False	DONE	expression_source_only;not_function	Myeloid	Lymphoid	0.4343781074201048	1.0	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
B4GALT2	hsa:8704	74.0	6.0	-0.2398425672068778	-0.604841292011508	0.1251561575977524	0.1620395839769212	0.2230049720078421	DONE	NA	74.0	6.0	-0.2138265143964599	-0.5363058573187631	0.1086528285258432	0.1905914351758793	0.2499265046174266	DONE	NA	GBM_FEATURE:88a2f109b13da155|hsa:8704	1	0	NOT_SUPPORTED_THIS_TEST	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Neoplastic	Astrocyte	0.0083260784597419	0.785	1000	False	DONE	expression_source_only;not_function	Neoplastic	OPC	0.016878851575933	0.953	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
G6PC1	hsa:2538	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	exact_symbol_missing	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	exact_symbol_missing	GBM_FEATURE:88a2f109b13da155|hsa:2538	1	0	NOT_EVALUABLE	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	0	False	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	0	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
G6PC2	hsa:57818	74.0	6.0	0.2361168717778164	0.0391168492259317	0.4331168943297012	0.0231663801621389	0.0435152276018555	DONE	NA	74.0	6.0	0.245460453572297	0.0595706223990793	0.4313502847455147	0.010332894725349	0.0192781132287212	DONE	NA	GBM_FEATURE:88a2f109b13da155|hsa:57818	1	0	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	1000	False	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
G6PC3	hsa:92579	74.0	6.0	0.859926719852107	0.6774555709598729	1.0423978687443411	9.57129159391801e-07	1.0233919473496948e-05	DONE	NA	74.0	6.0	0.8621054433859567	0.6766026614053542	1.0476082253665593	4.321575657630866e-14	6.006990164106904e-13	DONE	NA	GBM_FEATURE:88a2f109b13da155|hsa:92579	1	0	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	OPC	Astrocyte	0.0016930703629139	0.463	1000	False	DONE	expression_source_only;not_function	OPC	Neoplastic	0.0022391230386117	0.524	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
GBA1	hsa:2629	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	exact_symbol_missing	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE	exact_symbol_missing	GBM_FEATURE:88a2f109b13da155|hsa:2629	1	0	NOT_EVALUABLE	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	0	False	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	0	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
GBA2	hsa:57704	74.0	6.0	-0.6296267373340667	-0.9447841225077658	-0.3144693521603676	0.002362035996597	0.0064377059515095	DONE	NA	74.0	6.0	-0.6188775851084322	-0.898138517598593	-0.3396166526182713	3.308730945675812e-05	0.0001095032384402	DONE	NA	GBM_FEATURE:88a2f109b13da155|hsa:57704	1	0	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Vascular	Neoplastic	0.0905340037471029	1.0	1000	False	DONE	expression_source_only;not_function	Vascular	Neoplastic	0.0602682238946691	0.993	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
GBA3	hsa:57733	74.0	6.0	-0.0044869036544917	-0.0116813357135686	0.002707528404585	0.1734004628301311	0.2340064498387206	DONE	NA	74.0	6.0	-0.0042040461068996	-0.0098061483004289	0.0013980560866296	0.1391510953864644	0.1953737601890763	DONE	NA	GBM_FEATURE:88a2f109b13da155|hsa:57733	1	0	NOT_SUPPORTED_THIS_TEST	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	0	False	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	0	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
